feature,importance,fold
CC_AMT_DRAWINGS_CURRENT_SUM,0.0016046555,1
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0.0,1
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,0.0022722343,1
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0.001987047,1
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0.0018788149,1
CC_AMT_DRAWINGS_POS_CURRENT_MIN,0.0017331134,1
CC_AMT_DRAWINGS_POS_CURRENT_MAX,0.0017061991,1
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,0.0016773015,1
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.0018196867,1
CC_AMT_INST_MIN_REGULARITY_MIN,0.0017444803,1
CC_AMT_INST_MIN_REGULARITY_MAX,0.0016370538,1
CC_AMT_INST_MIN_REGULARITY_MEAN,0.0016472568,1
CC_AMT_INST_MIN_REGULARITY_SUM,0.0017155103,1
